ts,value,time_ms,time_s
1575298998.5849,32.0,15:03:18.584900,15:03:18
1575298998.6350293,32.0,15:03:18.635029,15:03:18
1575298999.7377276,48.0,15:03:19.737728,15:03:19
1575298999.787867,48.0,15:03:19.787867,15:03:19
1575298999.841156,48.0,15:03:19.841156,15:03:19
1575298999.8912945,48.0,15:03:19.891294,15:03:19
1575299000.2922785,32.0,15:03:20.292279,15:03:20
1575299000.342411,32.0,15:03:20.342411,15:03:20
1575299000.3925376,32.0,15:03:20.392538,15:03:20
1575299000.8436494,48.0,15:03:20.843649,15:03:20
1575299000.8937829,48.0,15:03:20.893783,15:03:20
1575299000.9439082,48.0,15:03:20.943908,15:03:20
1575299000.9940686,48.0,15:03:20.994069,15:03:20
1575299137.2297025,32.0,15:05:37.229702,15:05:37
1575299137.2798235,32.0,15:05:37.279824,15:05:37
1575299137.3299456,32.0,15:05:37.329946,15:05:37
1575299137.3800695,32.0,15:05:37.380069,15:05:37
1575299138.3323276,32.0,15:05:38.332328,15:05:38
1575299138.382449,32.0,15:05:38.382449,15:05:38
1575299138.4325712,32.0,15:05:38.432571,15:05:38
1575299138.4826894,32.0,15:05:38.482689,15:05:38
1575299138.53281,32.0,15:05:38.532810,15:05:38
1575299139.1342258,32.0,15:05:39.134226,15:05:39
1575299139.1843429,32.0,15:05:39.184343,15:05:39
1575299139.2344625,32.0,15:05:39.234462,15:05:39
1575299420.8666847,32.0,15:10:20.866685,15:10:20
1575299420.9168086,32.0,15:10:20.916809,15:10:20
1575299420.966938,32.0,15:10:20.966938,15:10:20
1575299433.0007586,32.0,15:10:33.000759,15:10:33
1575299433.0508955,32.0,15:10:33.050895,15:10:33
1575299433.10103,32.0,15:10:33.101030,15:10:33
1575299433.602275,32.0,15:10:33.602275,15:10:33
1575299433.652409,32.0,15:10:33.652409,15:10:33
1575299433.7025385,32.0,15:10:33.702538,15:10:33
1575299433.7526734,32.0,15:10:33.752673,15:10:33
1575299438.7664225,32.0,15:10:38.766423,15:10:38
1575299438.8165965,32.0,15:10:38.816597,15:10:38
1575299439.2678938,32.0,15:10:39.267894,15:10:39
1575299439.3180635,32.0,15:10:39.318063,15:10:39
1575299439.3681946,32.0,15:10:39.368195,15:10:39
1575299439.4183679,32.0,15:10:39.418368,15:10:39
1575299446.2385726,32.0,15:10:46.238573,15:10:46
1575299446.298638,32.0,15:10:46.298638,15:10:46
1575299447.1665168,32.0,15:10:47.166517,15:10:47
1575299447.2539384,48.0,15:10:47.253938,15:10:47
1575299447.8246968,48.0,15:10:47.824697,15:10:47
1575299447.8842573,48.0,15:10:47.884257,15:10:47
1575299448.0532315,32.0,15:10:48.053231,15:10:48
1575299448.654841,32.0,15:10:48.654841,15:10:48
1575299448.7049725,32.0,15:10:48.704973,15:10:48
1575299448.7551064,32.0,15:10:48.755106,15:10:48
1575299448.8052368,32.0,15:10:48.805237,15:10:48
1575299448.8553705,32.0,15:10:48.855371,15:10:48
1575299448.9055064,32.0,15:10:48.905506,15:10:48
1575299449.657652,32.0,15:10:49.657652,15:10:49
1575299449.7078269,32.0,15:10:49.707827,15:10:49
1575299449.757957,32.0,15:10:49.757957,15:10:49
1575299449.8081205,32.0,15:10:49.808120,15:10:49
1575299449.8582466,32.0,15:10:49.858247,15:10:49
1575299545.991566,32.0,15:12:25.991566,15:12:25
1575299546.0422134,32.0,15:12:26.042213,15:12:26
1575299546.0923464,32.0,15:12:26.092346,15:12:26
1575299768.0079415,32.0,15:16:08.007941,15:16:08
1575299768.0580695,32.0,15:16:08.058069,15:16:08
1575299768.1081975,32.0,15:16:08.108197,15:16:08
1575299768.55932,32.0,15:16:08.559320,15:16:08
1575299768.6094382,32.0,15:16:08.609438,15:16:08
1575299768.6595738,32.0,15:16:08.659574,15:16:08
1575299768.7097044,32.0,15:16:08.709704,15:16:08
1575299768.7598274,32.0,15:16:08.759827,15:16:08
1575299809.02965,32.0,15:16:49.029650,15:16:49
1575299809.0799866,32.0,15:16:49.079987,15:16:49
1575299809.130117,32.0,15:16:49.130117,15:16:49
1575299809.1854866,32.0,15:16:49.185487,15:16:49
1575299809.2356186,32.0,15:16:49.235619,15:16:49
1575299810.0376756,32.0,15:16:50.037676,15:16:50
1575299810.087806,48.0,15:16:50.087806,15:16:50
1575299810.1379485,48.0,15:16:50.137949,15:16:50
1575299810.1880767,32.0,15:16:50.188077,15:16:50
1575299811.0403922,32.0,15:16:51.040392,15:16:51
1575299811.0905402,32.0,15:16:51.090540,15:16:51
1575299811.1406758,32.0,15:16:51.140676,15:16:51
1575299811.190807,32.0,15:16:51.190807,15:16:51
1575299813.5972571,32.0,15:16:53.597257,15:16:53
1575299813.6473804,32.0,15:16:53.647380,15:16:53
1575299814.249086,32.0,15:16:54.249086,15:16:54
1575299814.299216,32.0,15:16:54.299216,15:16:54
1575299814.349345,32.0,15:16:54.349345,15:16:54
1575299814.3994722,32.0,15:16:54.399472,15:16:54
1575299814.4496047,32.0,15:16:54.449605,15:16:54
1575299814.8507087,32.0,15:16:54.850709,15:16:54
1575299814.9008512,32.0,15:16:54.900851,15:16:54
1575299815.2016904,32.0,15:16:55.201690,15:16:55
1575299815.2518275,32.0,15:16:55.251827,15:16:55
1575299815.3019614,32.0,15:16:55.301961,15:16:55
1575299815.3521008,32.0,15:16:55.352101,15:16:55
1575299815.4022408,32.0,15:16:55.402241,15:16:55
1575299815.4523735,32.0,15:16:55.452374,15:16:55
1575299815.8534374,32.0,15:16:55.853437,15:16:55
1575299815.9035833,32.0,15:16:55.903583,15:16:55
1575299815.9537272,32.0,15:16:55.953727,15:16:55
1575299816.0040064,32.0,15:16:56.004006,15:16:56
1575299914.6865823,32.0,15:18:34.686582,15:18:34
1575299914.7367508,32.0,15:18:34.736751,15:18:34
1575300027.0964234,32.0,15:20:27.096423,15:20:27
1575300027.1466274,32.0,15:20:27.146627,15:20:27
1575300027.1967525,32.0,15:20:27.196753,15:20:27
1575300028.7509153,48.0,15:20:28.750915,15:20:28
1575300028.8023555,48.0,15:20:28.802356,15:20:28
1575300028.8524985,48.0,15:20:28.852499,15:20:28
1575300028.9026382,32.0,15:20:28.902638,15:20:28
1575300028.9527767,32.0,15:20:28.952777,15:20:28
1575300029.002907,32.0,15:20:29.002907,15:20:29
1575300030.5569599,32.0,15:20:30.556960,15:20:30
1575300030.607088,32.0,15:20:30.607088,15:20:30
1575300030.6572185,32.0,15:20:30.657218,15:20:30
1575300030.7073436,32.0,15:20:30.707344,15:20:30
1575300030.7574785,32.0,15:20:30.757478,15:20:30
1575300040.0357215,32.0,15:20:40.035722,15:20:40
1575300040.0858574,32.0,15:20:40.085857,15:20:40
1575300040.1360385,32.0,15:20:40.136039,15:20:40
1575300077.2972806,32.0,15:21:17.297281,15:21:17
